_id,link,license,language,licenseConflicts
64681a1a13df3d68492c5c2f,https://github.com/alibaba/iOSSecAudit,GNU General Public License v3.0,Python,3
646816a713df3d68492c5c1b,https://github.com/microsoft/PSRule,MIT License,C#,9
64681af813df3d68492c5c35,https://github.com/microsoft/InventorySample,MIT License,C#,30
6468197d13df3d68492c5c1f,https://github.com/apache/cassandra,Apache License 2.0,Java,591
646819f213df3d68492c5c29,https://github.com/google/report2bq,Apache License 2.0,Python,222
6468198c13df3d68492c5c23,https://github.com/alibaba/etcd,Apache License 2.0,Go,20
64681e0e13df3d68492c5c3e,https://github.com/google/resultstoreui,Apache License 2.0,Python,758
64681ada13df3d68492c5c31,https://github.com/microsoft/pmwcas,MIT License,C++,364
64681eb713df3d68492c5c44,https://github.com/microsoft/Windows-AppConsult-Tools-DesktopBridgeHelpers,MIT License,C#,15
64681a0b13df3d68492c5c2d,https://github.com/microsoft/windows-admin-center-extension-template,MIT License,TypeScript,12
6468281413df3d68492c5c66,https://github.com/apache/tuscany-sca-cpp,Apache License 2.0,C++,8
64681f5613df3d68492c5c4e,https://github.com/alibaba/QLExpress,Apache License 2.0,Java,172
64682b0513df3d68492c5c88,https://github.com/microsoft/PointerSQL,MIT License,Python,320
646826e013df3d68492c5c5e,https://github.com/microsoft/glTF-DXViewer,MIT License,C++,7
646826d213df3d68492c5c5c,https://github.com/apache/activemq-cpp,Apache License 2.0,C++,877
64682b2313df3d68492c5c8a,https://github.com/google/shoptimizer,Apache License 2.0,Python,21
646829a313df3d68492c5c76,https://github.com/google/android-emulator-webrtc,Apache License 2.0,JavaScript,1
64682b2b13df3d68492c5c8c,https://github.com/microsoft/PhoneticMatching,MIT License,C#,2
646827e713df3d68492c5c62,https://github.com/microsoft/spring-cloud-playground,MIT License,Java,4
646827f113df3d68492c5c64,https://github.com/alibaba/pouch,Apache License 2.0,Go,49
6468282913df3d68492c5c68,https://github.com/alibaba/spring-cloud-alibaba,Apache License 2.0,Java,7
6468292913df3d68492c5c6e,https://github.com/alibaba/webar.js,MIT License,,195
646829ba13df3d68492c5c7c,https://github.com/google/osqp-cpp,Apache License 2.0,C++,2
64681fd513df3d68492c5c50,https://github.com/microsoft/Windows-AppConsult-Tools-IAPWrapper,MIT License,ASP,3
64681f1513df3d68492c5c48,https://github.com/apache/servicemix4-nmr,Apache License 2.0,Java,28
646821b913df3d68492c5c5a,https://github.com/microsoft/presidio,MIT License,Python,86
646847f113df3d68492c5c93,https://github.com/facebook/chisel,MIT License,Python,281
6468217313df3d68492c5c56,https://github.com/alibaba/funcraft,MIT License,JavaScript,450
6468283313df3d68492c5c6c,https://github.com/alibaba/ListItem,Apache License 2.0,Java,1
64682b2f13df3d68492c5c8e,https://github.com/alibaba/spring-boot-web-support,GNU General Public License v3.0,Java,8
64682a1213df3d68492c5c80,https://github.com/apache/commons-validator,Apache License 2.0,Java,1
6468204113df3d68492c5c54,https://github.com/alibaba/beidou,MIT License,JavaScript,232
64681fef13df3d68492c5c52,https://github.com/google/ldif,Apache License 2.0,Python,2
6468278013df3d68492c5c60,https://github.com/alibaba/dawn,MIT License,JavaScript,4
646829f213df3d68492c5c7e,https://github.com/google/fhir-data-pipes,Apache License 2.0,Java,20
6468217713df3d68492c5c58,https://github.com/alibaba/android_viewtracker,Apache License 2.0,Java,4
64682a9713df3d68492c5c86,https://github.com/google/ml_collections,Apache License 2.0,Python,2
64684d7213df3d68492c5caa,https://github.com/facebook/lexical,MIT License,JavaScript,89
